Month,protein
2004-01,44
2004-02,46
2004-03,39
2004-04,43
2004-05,43
2004-06,38
2004-07,37
2004-08,36
2004-09,40
2004-10,40
2004-11,39
2004-12,34
2005-01,39
2005-02,40
2005-03,40
2005-04,39
2005-05,37
2005-06,35
2005-07,34
2005-08,33
2005-09,37
2005-10,37
2005-11,36
2005-12,28
2006-01,35
2006-02,36
2006-03,37
2006-04,33
2006-05,32
2006-06,31
2006-07,29
2006-08,28
2006-09,31
2006-10,32
2006-11,30
2006-12,25
2007-01,32
2007-02,33
2007-03,33
2007-04,33
2007-05,30
2007-06,31
2007-07,29
2007-08,28
2007-09,31
2007-10,33
2007-11,29
2007-12,24
2008-01,32
2008-02,32
2008-03,31
2008-04,32
2008-05,29
2008-06,28
2008-07,28
2008-08,27
2008-09,29
2008-10,31
2008-11,29
2008-12,25
2009-01,32
2009-02,34
2009-03,33
2009-04,32
2009-05,31
2009-06,30
2009-07,30
2009-08,29
2009-09,32
2009-10,33
2009-11,32
2009-12,27
2010-01,34
2010-02,34
2010-03,36
2010-04,35
2010-05,33
2010-06,32
2010-07,30
2010-08,32
2010-09,34
2010-10,35
2010-11,33
2010-12,27
2011-01,37
2011-02,38
2011-03,41
2011-04,38
2011-05,37
2011-06,35
2011-07,35
2011-08,33
2011-09,37
2011-10,39
2011-11,36
2011-12,30
2012-01,41
2012-02,44
2012-03,41
2012-04,42
2012-05,41
2012-06,40
2012-07,41
2012-08,42
2012-09,45
2012-10,45
2012-11,38
2012-12,31
2013-01,47
2013-02,48
2013-03,48
2013-04,50
2013-05,46
2013-06,45
2013-07,44
2013-08,45
2013-09,47
2013-10,47
2013-11,41
2013-12,37
2014-01,53
2014-02,52
2014-03,54
2014-04,50
2014-05,47
2014-06,44
2014-07,46
2014-08,46
2014-09,49
2014-10,48
2014-11,46
2014-12,39
2015-01,54
2015-02,52
2015-03,53
2015-04,54
2015-05,54
2015-06,47
2015-07,47
2015-08,46
2015-09,51
2015-10,49
2015-11,47
2015-12,39
2016-01,54
2016-02,55
2016-03,56
2016-04,56
2016-05,52
2016-06,52
2016-07,48
2016-08,49
2016-09,52
2016-10,52
2016-11,49
2016-12,41
2017-01,60
2017-02,61
2017-03,62
2017-04,60
2017-05,55
2017-06,53
2017-07,56
2017-08,58
2017-09,56
2017-10,57
2017-11,50
2017-12,46
2018-01,60
2018-02,63
2018-03,60
2018-04,59
2018-05,57
2018-06,51
2018-07,55
2018-08,54
2018-09,58
2018-10,57
2018-11,55
2018-12,44
2019-01,61
2019-02,62
2019-03,62
2019-04,58
2019-05,55
2019-06,56
2019-07,58
2019-08,55
2019-09,59
2019-10,58
2019-11,58
2019-12,47
2020-01,65
2020-02,62
2020-03,53
2020-04,57
2020-05,60
2020-06,60
2020-07,62
2020-08,59
2020-09,68
2020-10,64
2020-11,57
2020-12,53
2021-01,68
2021-02,70
2021-03,69
2021-04,68
2021-05,64
2021-06,66
2021-07,66
2021-08,67
2021-09,68
2021-10,62
2021-11,62
2021-12,54
2022-01,82
2022-02,79
2022-03,85
2022-04,81
2022-05,74
2022-06,74
2022-07,73
2022-08,79
2022-09,80
2022-10,72
2022-11,75
2022-12,64
2023-01,89
2023-02,88
2023-03,90
2023-04,87
2023-05,86
2023-06,84
2023-07,87
2023-08,86
2023-09,89
2023-10,88
2023-11,81
2023-12,76
2024-01,100
